id,text,a,b,c,d,tags,question_type,answer
78,Quelle est la capitale du Falkland Islands,Stanley,,,,world_capitals,cash,a
79,Quelle est la capitale du Faroe Islands,Torshavn,,,,world_capitals,cash,a
80,Quelle est la capitale du Fiji,Suva,,,,world_capitals,cash,a
81,Quelle est la capitale du Finland,Helsinki,,,,world_capitals,cash,a
82,Quelle est la capitale du France,Paris,,,,world_capitals,cash,a
83,Quelle est la capitale du French Polynesia,Papeete,,,,world_capitals,cash,a
84,Quelle est la capitale du Gabon,Libreville,,,,world_capitals,cash,a
85,Quelle est la capitale du The Gambia,Banjul,,,,world_capitals,cash,a
86,Quelle est la capitale du Georgia,Tbilisi,,,,world_capitals,cash,a
87,Quelle est la capitale du Germany,Berlin,,,,world_capitals,cash,a
88,Quelle est la capitale du Ghana,Accra,,,,world_capitals,cash,a
89,Quelle est la capitale du Gibraltar,Gibraltar,,,,world_capitals,cash,a
90,Quelle est la capitale du Greece,Athens,,,,world_capitals,cash,a
91,Quelle est la capitale du Greenland,Nuuk,,,,world_capitals,cash,a
92,Quelle est la capitale du Grenada,Saint George's,,,,world_capitals,cash,a
93,Quelle est la capitale du Guam,Hagatna,,,,world_capitals,cash,a
94,Quelle est la capitale du Guatemala,Guatemala City,,,,world_capitals,cash,a
95,Quelle est la capitale du Guernsey,Saint Peter Port,,,,world_capitals,cash,a
96,Quelle est la capitale du Guinea,Conakry,,,,world_capitals,cash,a
97,Quelle est la capitale du Guinea-Bissau,Bissau,,,,world_capitals,cash,a
98,Quelle est la capitale du Guyana,Georgetown,,,,world_capitals,cash,a
99,Quelle est la capitale du Haiti,Port-au-Prince,,,,world_capitals,cash,a
100,Quelle est la capitale du Vatican City,Vatican City,,,,world_capitals,cash,a
101,Quelle est la capitale du Honduras,Tegucigalpa,,,,world_capitals,cash,a
102,Quelle est la capitale du Hungary,Budapest,,,,world_capitals,cash,a
103,Quelle est la capitale du Iceland,Reykjavik,,,,world_capitals,cash,a
104,Quelle est la capitale du India,New Delhi,,,,world_capitals,cash,a
105,Quelle est la capitale du Indonesia,Jakarta,,,,world_capitals,cash,a
106,Quelle est la capitale du Iran,Tehran,,,,world_capitals,cash,a
107,Quelle est la capitale du Iraq,Baghdad,,,,world_capitals,cash,a
108,Quelle est la capitale du Ireland,Dublin,,,,world_capitals,cash,a
109,Quelle est la capitale du Isle of Man,Douglas,,,,world_capitals,cash,a
110,Quelle est la capitale du Israel,Jerusalem,,,,world_capitals,cash,a
111,Quelle est la capitale du Italy,Rome,,,,world_capitals,cash,a
112,Quelle est la capitale du Jamaica,Kingston,,,,world_capitals,cash,a
113,Quelle est la capitale du Japan,Tokyo,,,,world_capitals,cash,a
114,Quelle est la capitale du Jersey,Saint Helier,,,,world_capitals,cash,a
115,Quelle est la capitale du Jordan,Amman,,,,world_capitals,cash,a
116,Quelle est la capitale du Kazakhstan,Astana,,,,world_capitals,cash,a
117,Quelle est la capitale du Kenya,Nairobi,,,,world_capitals,cash,a
118,Quelle est la capitale du Kiribati,Tarawa,,,,world_capitals,cash,a
119,Quelle est la capitale du North Korea,Pyongyang,,,,world_capitals,cash,a
120,Quelle est la capitale du South Korea,Seoul,,,,world_capitals,cash,a
121,Quelle est la capitale du Kosovo,Pristina,,,,world_capitals,cash,a
122,Quelle est la capitale du Kuwait,Kuwait City,,,,world_capitals,cash,a
123,Quelle est la capitale du Kyrgyzstan,Bishkek,,,,world_capitals,cash,a
124,Quelle est la capitale du Laos,Vientiane,,,,world_capitals,cash,a
125,Quelle est la capitale du Latvia,Riga,,,,world_capitals,cash,a
126,Quelle est la capitale du Lebanon,Beirut,,,,world_capitals,cash,a
127,Quelle est la capitale du Lesotho,Maseru,,,,world_capitals,cash,a
128,Quelle est la capitale du Liberia,Monrovia,,,,world_capitals,cash,a
129,Quelle est la capitale du Libya,Tripoli,,,,world_capitals,cash,a
130,Quelle est la capitale du Liechtenstein,Vaduz,,,,world_capitals,cash,a
131,Quelle est la capitale du Lithuania,Vilnius,,,,world_capitals,cash,a
132,Quelle est la capitale du Luxembourg,Luxembourg,,,,world_capitals,cash,a
133,Quelle est la capitale du Macedonia,Skopje,,,,world_capitals,cash,a
134,Quelle est la capitale du Madagascar,Antananarivo,,,,world_capitals,cash,a
135,Quelle est la capitale du Malawi,Lilongwe,,,,world_capitals,cash,a
136,Quelle est la capitale du Malaysia,Kuala Lumpur,,,,world_capitals,cash,a
137,Quelle est la capitale du Maldives,Male,,,,world_capitals,cash,a
138,Quelle est la capitale du Mali,Bamako,,,,world_capitals,cash,a
139,Quelle est la capitale du Malta,Valletta,,,,world_capitals,cash,a
140,Quelle est la capitale du Marshall Islands,Majuro,,,,world_capitals,cash,a
141,Quelle est la capitale du Mauritania,Nouakchott,,,,world_capitals,cash,a
142,Quelle est la capitale du Mauritius,Port Louis,,,,world_capitals,cash,a
143,Quelle est la capitale du Mexico,Mexico City,,,,world_capitals,cash,a
144,Quelle est la capitale du Federated States of Micronesia,Palikir,,,,world_capitals,cash,a
145,Quelle est la capitale du Moldova,Chisinau,,,,world_capitals,cash,a
146,Quelle est la capitale du Monaco,Monaco,,,,world_capitals,cash,a
147,Quelle est la capitale du Mongolia,Ulaanbaatar,,,,world_capitals,cash,a
148,Quelle est la capitale du Montenegro,Podgorica,,,,world_capitals,cash,a
149,Quelle est la capitale du Montserrat,Plymouth,,,,world_capitals,cash,a
150,Quelle est la capitale du Morocco,Rabat,,,,world_capitals,cash,a
151,Quelle est la capitale du Mozambique,Maputo,,,,world_capitals,cash,a
152,Quelle est la capitale du Namibia,Windhoek,,,,world_capitals,cash,a
153,Quelle est la capitale du Nepal,Kathmandu,,,,world_capitals,cash,a
154,Quelle est la capitale du Netherlands,Amsterdam,,,,world_capitals,cash,a
155,Quelle est la capitale du New Caledonia,Noumea,,,,world_capitals,cash,a
156,Quelle est la capitale du New Zealand,Wellington,,,,world_capitals,cash,a
157,Quelle est la capitale du Nicaragua,Managua,,,,world_capitals,cash,a
158,Quelle est la capitale du Niger,Niamey,,,,world_capitals,cash,a
159,Quelle est la capitale du Nigeria,Abuja,,,,world_capitals,cash,a
160,Quelle est la capitale du Niue,Alofi,,,,world_capitals,cash,a
161,Quelle est la capitale du Norfolk Island,Kingston,,,,world_capitals,cash,a
162,Quelle est la capitale du Northern Mariana Islands,Saipan,,,,world_capitals,cash,a
163,Quelle est la capitale du Norway,Oslo,,,,world_capitals,cash,a
164,Quelle est la capitale du Oman,Muscat,,,,world_capitals,cash,a
165,Quelle est la capitale du Pakistan,Islamabad,,,,world_capitals,cash,a
166,Quelle est la capitale du Palau,Melekeok,,,,world_capitals,cash,a
167,Quelle est la capitale du Panama,Panama City,,,,world_capitals,cash,a
168,Quelle est la capitale du Papua New Guinea,Port Moresby,,,,world_capitals,cash,a
169,Quelle est la capitale du Paraguay,Asuncion,,,,world_capitals,cash,a
170,Quelle est la capitale du Peru,Lima,,,,world_capitals,cash,a
171,Quelle est la capitale du Philippines,Manila,,,,world_capitals,cash,a
172,Quelle est la capitale du Pitcairn Islands,Adamstown,,,,world_capitals,cash,a
173,Quelle est la capitale du Poland,Warsaw,,,,world_capitals,cash,a
174,Quelle est la capitale du Portugal,Lisbon,,,,world_capitals,cash,a
175,Quelle est la capitale du Puerto Rico,San Juan,,,,world_capitals,cash,a
176,Quelle est la capitale du Qatar,Doha,,,,world_capitals,cash,a
177,Quelle est la capitale du Romania,Bucharest,,,,world_capitals,cash,a
178,Quelle est la capitale du Russia,Moscow,,,,world_capitals,cash,a
179,Quelle est la capitale du Rwanda,Kigali,,,,world_capitals,cash,a
180,Quelle est la capitale du Saint Barthelemy,Gustavia,,,,world_capitals,cash,a
181,Quelle est la capitale du Saint Helena,Jamestown,,,,world_capitals,cash,a
182,Quelle est la capitale du Saint Kitts and Nevis,Basseterre,,,,world_capitals,cash,a
183,Quelle est la capitale du Saint Lucia,Castries,,,,world_capitals,cash,a
184,Quelle est la capitale du Saint Pierre and Miquelon,Saint-Pierre,,,,world_capitals,cash,a
185,Quelle est la capitale du Saint Vincent and the Grenadines,Kingstown,,,,world_capitals,cash,a
186,Quelle est la capitale du Samoa,Apia,,,,world_capitals,cash,a
187,Quelle est la capitale du San Marino,San Marino,,,,world_capitals,cash,a
188,Quelle est la capitale du Sao Tome and Principe,Sao Tome,,,,world_capitals,cash,a
189,Quelle est la capitale du Saudi Arabia,Riyadh,,,,world_capitals,cash,a
190,Quelle est la capitale du Senegal,Dakar,,,,world_capitals,cash,a
191,Quelle est la capitale du Serbia,Belgrade,,,,world_capitals,cash,a
192,Quelle est la capitale du Seychelles,Victoria,,,,world_capitals,cash,a
193,Quelle est la capitale du Sierra Leone,Freetown,,,,world_capitals,cash,a
194,Quelle est la capitale du Singapore,Singapore,,,,world_capitals,cash,a
195,Quelle est la capitale du Sint Maarten,Philipsburg,,,,world_capitals,cash,a
196,Quelle est la capitale du Slovakia,Bratislava,,,,world_capitals,cash,a
197,Quelle est la capitale du Slovenia,Ljubljana,,,,world_capitals,cash,a
198,Quelle est la capitale du Solomon Islands,Honiara,,,,world_capitals,cash,a
199,Quelle est la capitale du Somalia,Mogadishu,,,,world_capitals,cash,a
200,Quelle est la capitale du South Africa,Pretoria,,,,world_capitals,cash,a
201,Quelle est la capitale du South Sudan,Juba,,,,world_capitals,cash,a
202,Quelle est la capitale du Spain,Madrid,,,,world_capitals,cash,a
203,Quelle est la capitale du Sri Lanka,Colombo,,,,world_capitals,cash,a
204,Quelle est la capitale du Sudan,Khartoum,,,,world_capitals,cash,a
205,Quelle est la capitale du Suriname,Paramaribo,,,,world_capitals,cash,a
206,Quelle est la capitale du Svalbard,Longyearbyen,,,,world_capitals,cash,a
207,Quelle est la capitale du Swaziland,Mbabane,,,,world_capitals,cash,a
208,Quelle est la capitale du Sweden,Stockholm,,,,world_capitals,cash,a
209,Quelle est la capitale du Switzerland,Bern,,,,world_capitals,cash,a
210,Quelle est la capitale du Syria,Damascus,,,,world_capitals,cash,a
211,Quelle est la capitale du Taiwan,Taipei,,,,world_capitals,cash,a
212,Quelle est la capitale du Tajikistan,Dushanbe,,,,world_capitals,cash,a
213,Quelle est la capitale du Tanzania,Dar es Salaam,,,,world_capitals,cash,a
214,Quelle est la capitale du Thailand,Bangkok,,,,world_capitals,cash,a
215,Quelle est la capitale du Timor-Leste,Dili,,,,world_capitals,cash,a
216,Quelle est la capitale du Togo,Lome,,,,world_capitals,cash,a
217,Quelle est la capitale du Tonga,Nuku'alofa,,,,world_capitals,cash,a
218,Quelle est la capitale du Trinidad and Tobago,Port of Spain,,,,world_capitals,cash,a
219,Quelle est la capitale du Tunisia,Tunis,,,,world_capitals,cash,a
220,Quelle est la capitale du Turkey,Ankara,,,,world_capitals,cash,a
221,Quelle est la capitale du Turkmenistan,Ashgabat,,,,world_capitals,cash,a
222,Quelle est la capitale du Turks and Caicos Islands,Grand Turk,,,,world_capitals,cash,a
223,Quelle est la capitale du Tuvalu,Funafuti,,,,world_capitals,cash,a
224,Quelle est la capitale du Uganda,Kampala,,,,world_capitals,cash,a
225,Quelle est la capitale du Ukraine,Kyiv,,,,world_capitals,cash,a
226,Quelle est la capitale du United Arab Emirates,Abu Dhabi,,,,world_capitals,cash,a
227,Quelle est la capitale du United Kingdom,London,,,,world_capitals,cash,a
228,Quelle est la capitale du United States,Washington,,,,world_capitals,cash,a
229,Quelle est la capitale du Uruguay,Montevideo,,,,world_capitals,cash,a
230,Quelle est la capitale du Uzbekistan,Tashkent,,,,world_capitals,cash,a
231,Quelle est la capitale du Vanuatu,Port-Vila,,,,world_capitals,cash,a
232,Quelle est la capitale du Venezuela,Caracas,,,,world_capitals,cash,a
233,Quelle est la capitale du Vietnam,Hanoi,,,,world_capitals,cash,a
234,Quelle est la capitale du US Virgin Islands,Charlotte Amalie,,,,world_capitals,cash,a
235,Quelle est la capitale du Wallis and Futuna,Mata-Utu,,,,world_capitals,cash,a
236,Quelle est la capitale du Yemen,Sanaa,,,,world_capitals,cash,a
237,Quelle est la capitale du Zambia,Lusaka,,,,world_capitals,cash,a
238,Quelle est la capitale du Zimbabwe,Harare,,,,world_capitals,cash,a
239,Quelle est la capitale du US Minor Outlying Islands,Washington,,,,world_capitals,cash,a
241,Quelle est la capitale du Northern Cyprus,North Nicosia,,,,world_capitals,cash,a
244,Quelle est la capitale du British Indian Ocean Territory,Diego Garcia,,,,world_capitals,cash,a
